Position,Team,Player,Matches,Innings,Bat Avg,Runs
1,AFGHANISTAN,Rahmanullah GURBAZ,8,8,35.12,281
2,INDIA,Rohit SHARMA,8,8,36.71,257
3,AUSTRALIA,Travis HEAD,7,7,42.5,255
4,SOUTH AFRICA,Quinton DE KOCK,9,9,27,243
5,AFGHANISTAN,Ibrahim ZADRAN,8,8,28.87,231
6,WEST INDIES,Nicholas POORAN,7,7,38,228
7,USA,Andries GOUS,6,6,43.8,219
8,ENGLAND,Jos BUTTLER,8,7,42.8,214
9,INDIA,Suryakumar YADAV,8,8,28.42,199
10,SOUTH AFRICA,Heinrich KLAASEN,9,8,31.66,190
11,ENGLAND,Phil SALT,8,7,37.6,188
12,AUSTRALIA,David WARNER,7,7,29.66,178
13,INDIA,Rishabh PANT,8,8,24.42,171
14,AUSTRALIA,Marcus STOINIS,7,5,42.25,169
15,SOUTH AFRICA,David MILLER,9,8,28.16,169
