Position,Team,Player,Matches,Overs,Strike Rate,Wickets
1,AFGHANISTAN,Fazalhaq FAROOQI,8,25.2,8.94,17
2,INDIA,Arshdeep SINGH,8,30,10.58,17
3,INDIA,Jasprit BUMRAH,8,29.4,11.86,15
4,SOUTH AFRICA,Anrich NORTJE,9,35,14,15
5,AFGHANISTAN,Rashid KHAN,8,29,12.42,14
6,BANGLADESH,Mustafizur REHAM,7,22,11.33,14
7,AFGHANISTAN,Naveen-ul-Haq,8,26.4,12.3,13
8,SOUTH AFRICA,Kagiso RABADA,9,31,14.3,13
9,AUSTRALIA,Adam ZAMPA,7,28,12.92,13
10,WEST INDIES,Alzarri JOSEPH,7,24.3,11.3,13
11,BANGLADESH,Tanzim HASAN SAKIB,7,24,13.09,11
12,SOUTH AFRICA,Keshav MAHARAJ,8,28,15.27,11
13,WEST INDIES,Andre RUSSELL,7,20.1,11,11
14,SOUTH AFRICA,Tabraiz SHAMSI,5,16.5,9.18,11
15,INDIA,Hardik PANDYA,B,25,13.63,11
