Sl. No.,State/UT,2015 - CR,2016 - CR,2017 - CR,2018 - CR,2019 - CR,2020 - CR
1,Andhra Pradesh,1027,994,988,971,1086,1095
2,Arunachal Pradesh,71,92,59,67,63,60
3,Assam,1733,1779,1772,1648,1773,1657
4,Bihar,1041,1008,605,651,730,806
5,Chhattisgarh,1560,1626,1908,2091,1036,1210
6,Goa,86,61,76,61,72,60
7,Gujarat,503,982,477,553,528,486
8,Haryana,1070,1187,1099,1296,1480,1373
9,Himachal Pradesh,244,252,249,344,359,331
10,Jharkhand,1053,1109,914,1090,1416,1321
11,Karnataka,589,1655,546,492,505,504
12,Kerala,1256,1656,2003,1945,2023,637
13,Madhya Pradesh,4391,4882,5562,5433,2485,2339
14,Maharashtra,4144,4189,1933,2142,2299,2061
15,Manipur,46,55,40,52,36,32
16,Meghalaya,93,190,119,87,102,67
17,Mizoram,58,23,25,50,42,33
18,Nagaland,35,26,10,10,8,4
19,Odisha,2251,1983,2070,918,1382,1211
20,Punjab,886,838,530,831,1002,502
21,Rajasthan,3644,3656,3305,4335,5997,5310
22,Sikkim,5,92,17,16,11,12
23,Tamil Nadu,421,319,283,331,362,389
24,Telangana,1105,1278,552,606,873,764
25,Tripura,213,207,95,97,88,79
26,Uttar Pradesh,3025,4816,4246,3946,3065,2769
27,Uttarakhand,283,336,374,561,526,487
28,West Bengal,1199,1110,1084,1069,1069,1128
29,Andaman & Nicobar Islands,36,30,13,30,13,2
30,Chandigarh,72,68,65,86,112,60
31,Dadra & Nagar Haveli**,8,14,1,7,0,4
32,Delhi,2199,2155,1229,1215,1253,997
33,Jammu & Kashmir*,296,256,296,320,223,243
34,Daman & Diu**,5,12,7,3,4,2
35,Lakshadweep,0,5,0,2,0,3
36,Puducherry,3,6,7,0,10,8
